file,test_set,n,m,source,algo,wall_ms,peak_mib,edges_relaxed,max_frontier_size,iterations
C_density_impact_n100000_seed1.txt,C_density_impact,100000,1600000,0,bellman-ford,41457.3924590004,5.338050842285156,22400000,,14
C_density_impact_n100000_seed2.txt,C_density_impact,100000,1600000,0,bmssp,19861.716232000617,389.6301574707031,16144,,
C_density_impact_n100000_seed2.txt,C_density_impact,100000,1600000,0,dijkstra,4293.370081999456,16.81325912475586,1600000,168064,
C_density_impact_n100000_seed2.txt,C_density_impact,100000,1600000,0,bellman-ford,41292.78680599964,5.330078125,22400000,,14
D_dag_n100000_seed0.txt,D_dag,100000,400000,0,bmssp,13410.379155000555,111.14041137695312,1297596,,
D_dag_n100000_seed0.txt,D_dag,100000,400000,0,dijkstra,1167.3599259956973,3.906085968017578,400000,13957,
D_dag_n100000_seed0.txt,D_dag,100000,400000,0,bellman-ford,1844.4596490007825,5.9276580810546875,800000,,2
D_dag_n100000_seed1.txt,D_dag,100000,400000,0,bmssp,5296.542872005375,111.0985336303711,2046,,
D_dag_n100000_seed1.txt,D_dag,100000,400000,0,dijkstra,1145.0688030017773,3.902873992919922,400000,11785,
D_dag_n100000_seed1.txt,D_dag,100000,400000,0,bellman-ford,1869.8082039991277,5.959968566894531,800000,,2
D_dag_n100000_seed2.txt,D_dag,100000,400000,0,bmssp,12657.091307999508,111.18309020996094,1189212,,
D_dag_n100000_seed2.txt,D_dag,100000,400000,0,dijkstra,1207.6943400024902,3.906177520751953,400000,13557,
D_dag_n100000_seed2.txt,D_dag,100000,400000,0,bellman-ford,1839.1471810027724,5.9385986328125,800000,,2
E_grid_n100000_seed0.txt,E_grid,100000,398734,0,bmssp,3839.8268110031495,94.61173248291016,373,,
E_grid_n100000_seed0.txt,E_grid,100000,398734,0,dijkstra,927.9327339972951,3.8139610290527344,398734,766,
E_grid_n100000_seed0.txt,E_grid,100000,398734,0,bellman-ford,34440.705771994544,5.932464599609375,19139232,,48
E_grid_n100000_seed1.txt,E_grid,100000,398734,0,bmssp,3578.8314349993016,94.61173248291016,425,,
E_grid_n100000_seed1.txt,E_grid,100000,398734,0,dijkstra,959.9253589985892,3.8137474060058594,398734,805,
E_grid_n100000_seed1.txt,E_grid,100000,398734,0,bellman-ford,43233.131321001565,5.929893493652344,23924040,,60
E_grid_n100000_seed2.txt,E_grid,100000,398734,0,bmssp,3703.054906000034,94.61173248291016,509,,
E_grid_n100000_seed2.txt,E_grid,100000,398734,0,dijkstra,936.4073960023234,3.813465118408203,398734,766,
E_grid_n100000_seed2.txt,E_grid,100000,398734,0,bellman-ford,34703.62492099957,5.935234069824219,19139232,,48
F_preferential_attachment_n100000_seed0.txt,F_preferential_attachment,100000,549379,0,bmssp,6313.667271002487,137.61380004882812,16172,,
F_preferential_attachment_n100000_seed0.txt,F_preferential_attachment,100000,549379,0,dijkstra,1942.6522470021155,9.772472381591797,549379,84165,
F_preferential_attachment_n100000_seed0.txt,F_preferential_attachment,100000,549379,0,bellman-ford,12827.334018002148,5.5246124267578125,8240685,,15
F_preferential_attachment_n100000_seed1.txt,F_preferential_attachment,100000,550197,0,bmssp,3123.3268329960993,137.82322692871094,16184,,
F_preferential_attachment_n100000_seed1.txt,F_preferential_attachment,100000,550197,0,dijkstra,934.5862570044119,9.806194305419922,550197,84591,
F_preferential_attachment_n100000_seed1.txt,F_preferential_attachment,100000,550197,0,bellman-ford,6872.409552997851,5.512474060058594,7152561,,13
F_preferential_attachment_n100000_seed2.txt,F_preferential_attachment,100000,550073,0,bmssp,3278.821636995417,137.77791595458984,16172,,
F_preferential_attachment_n100000_seed2.txt,F_preferential_attachment,100000,550073,0,dijkstra,976.7983700003242,9.805057525634766,550073,84421,
F_preferential_attachment_n100000_seed2.txt,F_preferential_attachment,100000,550073,0,bellman-ford,7341.001669999969,5.5217132568359375,7150949,,13
